EmpID,Employee_Name,DOB,Gender,MaritalDesc,EmploymentStatus,Department,DeptID,Salary,Position,CitizenDesc,DateofHire,DateofTermination,RecruitmentSource,PerformanceScore,Absences
10026,"Adinolfi, Wilson  K",07-10-1983,M ,Single,Active,Production       ,5,62506,Production Technician I,US Citizen,07-05-2011,,LinkedIn,Exceeds,1
10084,"Ait Sidi, Karthikeyan   ",05-05-1975,M ,Married,Voluntarily Terminated,IT/IS,3,104437,Sr. DBA,US Citizen,3/30/2015,6/16/2016,Indeed,Fully Meets,17
10196,"Akinkuolie, Sarah",09/19/88,F,Married,Voluntarily Terminated,Production       ,5,64955,Production Technician II,US Citizen,07-05-2011,9/24/2012,LinkedIn,Fully Meets,3
10088,"Alagbe,Trina",09/27/88,F,Married,Active,Production       ,5,64991,Production Technician I,US Citizen,01-07-2008,,Indeed,Fully Meets,15
10069,"Anderson, Carol ",09-08-1989,F,Divorced,Voluntarily Terminated,Production       ,5,50825,Production Technician I,US Citizen,07-11-2011,09-06-2016,Google Search,Fully Meets,2
10002,"Anderson, Linda  ",05/22/77,F,Single,Active,Production       ,5,57568,Production Technician I,US Citizen,01-09-2012,,LinkedIn,Exceeds,15
10194,"Andreola, Colby",05/24/79,F,Single,Active,Software Engineering,4,95660,Software Engineer,US Citizen,11-10-2014,,LinkedIn,Fully Meets,19
10062,"Athwal, Sam",02/18/83,M ,Widowed,Active,Production       ,5,59365,Production Technician I,US Citizen,9/30/2013,,Employee Referral,Fully Meets,19
10114,"Bachiochi, Linda",02-11-1970,F,Single,Active,Production       ,5,47837,Production Technician I,US Citizen,07-06-2009,,Diversity Job Fair,Fully Meets,4
10250,"Bacong, Alejandro ",01-07-1988,M ,Divorced,Active,IT/IS,3,50178,IT Support,US Citizen,01-05-2015,,Indeed,Fully Meets,16
10252,"Baczenski, Rachael  ",01-12-1974,F,Married,Voluntarily Terminated,Production       ,5,54670,Production Technician I,US Citizen,01-10-2011,01-12-2017,Diversity Job Fair,Fully Meets,12
10242,"Barbara, Thomas",02/21/74,M ,Married,Voluntarily Terminated,Production       ,5,47211,Production Technician I,US Citizen,04-02-2012,9/19/2016,Diversity Job Fair,Fully Meets,15
